frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,_ws.col.protocol
"Apr 27, 2025 15:54:02.424708000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.424709000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.424710000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.424711000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.424712000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.424954000 CDT","192.168.4.148","142.251.186.147",,,"QUIC"
"Apr 27, 2025 15:54:02.424972000 CDT","192.168.4.148","142.251.186.147",,,"QUIC"
"Apr 27, 2025 15:54:02.424973000 CDT","192.168.4.148","142.251.186.147",,,"QUIC"
"Apr 27, 2025 15:54:02.424991000 CDT","192.168.4.148","142.251.186.147",,,"QUIC"
"Apr 27, 2025 15:54:02.425006000 CDT","192.168.4.148","142.251.186.147",,,"QUIC"
"Apr 27, 2025 15:54:02.425033000 CDT","192.168.4.148","142.251.186.147",,,"QUIC"
"Apr 27, 2025 15:54:02.425034000 CDT","192.168.4.148","142.251.186.147",,,"QUIC"
"Apr 27, 2025 15:54:02.425040000 CDT","192.168.4.148","142.251.186.147",,,"QUIC"
"Apr 27, 2025 15:54:02.425046000 CDT","192.168.4.148","142.251.186.147",,,"QUIC"
"Apr 27, 2025 15:54:02.432348000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.432349000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.432350000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.432351000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.432352000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.432353000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.432353000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.432354000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.432355000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.432355000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.432457000 CDT","192.168.4.148","142.251.186.147",,,"QUIC"
"Apr 27, 2025 15:54:02.432478000 CDT","192.168.4.148","142.251.186.147",,,"QUIC"
"Apr 27, 2025 15:54:02.432479000 CDT","192.168.4.148","142.251.186.147",,,"QUIC"
"Apr 27, 2025 15:54:02.432485000 CDT","192.168.4.148","142.251.186.147",,,"QUIC"
"Apr 27, 2025 15:54:02.432511000 CDT","192.168.4.148","142.251.186.147",,,"QUIC"
"Apr 27, 2025 15:54:02.460244000 CDT","192.168.4.148","142.251.186.147",,,"QUIC"
"Apr 27, 2025 15:54:02.461800000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.475803000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.475805000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.475805000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.475805000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.476047000 CDT","192.168.4.148","142.251.186.147",,,"QUIC"
"Apr 27, 2025 15:54:02.476068000 CDT","192.168.4.148","142.251.186.147",,,"QUIC"
"Apr 27, 2025 15:54:02.509903000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.602753000 CDT","192.168.4.148","192.168.4.1",,,"DNS"
"Apr 27, 2025 15:54:02.602880000 CDT","192.168.4.148","192.168.4.1",,,"DNS"
"Apr 27, 2025 15:54:02.612484000 CDT","192.168.4.1","192.168.4.148",,,"DNS"
